case_id,run_id,single_subject,no_people_hands_text,complete_uncropped,facing_consistent,identity_recognizable,sketch_influence,description_influence,background_alpha_success,recognizable_at_96,holdable_region_exists,grip_primary_reasonable,effect_anchor_reasonable,seed_variation_acceptable,generation_seconds,retry_count,status,notes
case_a,seed_41001_s45,True,True,True,True,True,True,True,True,False,False,False,True,False,2.091,0,success,"Blue effect and long profile survived, but the result reads more like a rocket canister than a multi-barrel prop at 96px."
case_a,seed_41002_s70,True,True,True,True,True,True,True,True,True,True,True,True,False,2.033,0,success,Best Case A result; barrel front and bottom support provide readable functional regions.
case_a,seed_41003_s45,False,True,False,False,False,False,False,True,False,True,True,True,False,2.019,0,success,Raw image is a repeated multi-object strip; largest-component cleanup hides the violation but does not make generation compliant.
case_b,seed_41001_s00,True,True,True,False,True,not_applicable,False,True,True,True,True,True,True,2.039,0,success,Umbrella identity and handle are clear; lightning/mechanical return semantics are not visible.
case_b,seed_41002_s00,True,True,True,False,True,not_applicable,False,False,False,True,False,False,True,2.045,0,failed,Background segmentation connected an edge artifact to the subject and rejected the run as OBJECT_TOUCHES_RAW_EDGE.
case_b,seed_41003_s00,True,True,True,False,True,not_applicable,False,True,True,True,True,True,True,2.044,0,success,"Readable umbrella and shaft, but it resembles a patio umbrella and has no attack-facing cue."
case_c,seed_41001_s45,True,True,True,False,True,True,True,True,True,True,False,False,True,2.061,0,success,"Recognizable chainsaw blade, but it faces left; rear-profile search places GripPrimary on the blade tip."
case_c,seed_41002_s70,True,True,True,False,True,True,True,True,True,True,False,False,True,2.036,0,success,"Strong silhouette preservation at 0.70, but the orientation and derived anchors are reversed."
case_c,seed_41003_s45,True,True,True,False,True,True,True,True,True,True,False,False,True,2.044,0,success,"Clear blade and handle, but again points left and defeats the current forward-edge assumption."
case_d,seed_41001_s45,True,True,True,False,True,True,False,False,False,False,False,False,False,2.054,0,failed,"Chair identity is preserved, but background removal rejects an edge-connected artifact."
case_d,seed_41002_s70,True,True,True,True,True,True,True,True,True,True,False,True,False,2.053,0,success,Chair survives at 96px and has a right-side functional protrusion; automatic grip remains on a leg.
case_d,seed_41003_s45,True,True,True,False,True,True,False,True,True,False,False,False,False,2.078,0,success,"Very readable chair, but it has no weapon-facing cue and no believable handhold."
case_e,seed_41001_s00,True,True,True,False,True,not_applicable,False,True,True,True,False,False,True,2.031,0,success,"Teapot and handle are clear, but the spout points left while Muzzle and GripPrimary are resolved on the wrong regions."
case_e,seed_41002_s00,True,True,True,False,True,not_applicable,False,False,False,True,False,False,True,2.043,0,failed,"Readable raw teapot, rejected by conservative edge-connected background validation."
case_e,seed_41003_s00,True,True,True,False,True,not_applicable,False,False,False,True,False,False,True,2.06,0,failed,"Readable raw teapot, rejected by conservative edge-connected background validation."
