case_id,sequence,collision_area,formation_hit_count,forward_extent,root_motion_total,startup_total,recovery_total,knockback_total
A01,sweep -> bash -> slam,24896.0,14,144.0,25.9008,0.596752,0.8215,502.96837184
A02,sweep -> thrust -> slam,36096.0,18,192.0,44.8704,0.5554384,0.75175,543.60361264
A03,sweep -> thrust -> slam,52096.0,20,224.0,53.6256,0.910832,1.18296,659.06200448
A04,thrust -> thrust -> slam,14464.0,9,264.0,63.84,0.910832,1.18296,757.22017536
A05,bash -> slam -> sweep,50752.0,20,200.0,53.6256,0.910832,1.18296,645.03940864
A06,bash -> slam -> bash,47168.0,20,192.0,64.6912,0.910832,1.18296,645.03940864
A07,sweep -> spin -> slam,59072.0,17,168.0,29.3056,0.596752,0.8215,674.19164736
A08,sweep -> spin -> slam,53888.0,15,160.0,29.3056,0.3800368,0.54126,426.192048656
A09,bash -> sweep -> slam,47296.0,19,184.0,34.656,0.522112096,0.72168,474.417698304
A10,bash -> slam -> bash,47232.0,19,184.0,34.656,0.596752,0.8215,492.26691712
A11,bash -> slam -> bash,46784.0,19,176.0,20.5504,0.56094688,0.78864,492.26691712
A12,sweep -> spin -> slam,91456.0,20,200.0,53.6256,0.57104576,0.7781,631.9431117824
