case_id,identity,contract_version,affordance_axes,dominant_mechanisms,primitive_sequence,recipe_signature,mechanical_signature
A01,菜刀,forge-semantic-v1.2-candidate,short/short/one_hand_handle/rigid/front/edge+point/point+edge+broad_face,sweep=4.100; slam=3.450; bash=3.344,sweep -> bash -> slam,37f8065efa1f45eef15cae130b14deb95c42429d33b7e5589fd80d381d6c96d3,a6a3a044721187f69dabc189cfe5c8b916a623da511585f3645a8d37d730a27b
A02,长剑,forge-semantic-v1.2-candidate,short/long/one_hand_handle/rigid/balanced/edge+point/point+edge,sweep=5.100; thrust=3.788; slam=1.750,sweep -> thrust -> slam,4d8b004e9ee92e5b2d82b5344eaf06f6a820b76c4ef5d3aefe935de39b1ed68a,a75a89e0ad36c814b9ca31e3314d3c92fecd1e3c6606c127d206e50b61955b11
A03,消防斧,forge-semantic-v1.2.1-candidate,long/medium/two_hand_handle/rigid/front/edge+point/point+edge,sweep=5.650; thrust=3.788; slam=2.350,sweep -> thrust -> slam,08ff7f99e11f8c608850b94775bbe452e7cb17c274765df248bece58315a6306,dd7fe8f9a4310552bdfa495036b0eae5d309e96afcb8ab2bc8c828fa681d80f2
A04,长矛,forge-semantic-v1.2-candidate,long/long/two_hand_handle/rigid/front/point+none/point,thrust=6.850; sweep=1.850; bash=1.550,thrust -> thrust -> slam,83f6eb8abd388d14f001d3b1ba4d979b102f7549e6eba96aaa013005f5877a64,7ce3f03afc5acaf41e16532a18ef9025afa9322d22be0ad31d756097a8a9f825
A05,铁锤,forge-semantic-v1.2-candidate,long/medium/two_hand_handle/rigid/front/broad+none/broad_face,bash=4.700; slam=4.100; sweep=2.650,bash -> slam -> sweep,c74aef97436d4ba2929c9fadc1a51fe6aa505d4212713f4f653b909fe7204d27,c35c055e93f1ab0c64c09e95fe2fe6daf83610df30fdc7923a3b236c22064433
A06,棒球棒,forge-semantic-v1.2-candidate,medium/medium/two_hand_handle/rigid/front/broad+none/broad_face+barrel,bash=5.050; slam=4.100; sweep=2.150,bash -> slam -> bash,679f713680fdf5340567ca6466a7af46b7df6d02cb99d790ac5c622f39f0df5b,c26f256bcaf5a167bb4c8334218a34c4b0e5e89ba1150f1522f74eb5b5ab7d37
A07,木椅,forge-semantic-v1.2.1-candidate,none/medium/body_grip/rigid/front/whole_body+edge/edge+broad_face,sweep=4.540; slam=4.206; bash=3.600,sweep -> spin -> slam,1f124aaab9eaa266b6e90605e0bdf455f04c95ce6580d5b27cbbd39c541aa6ed,dd75e1e9078d828e0022380d4e0920512e67c7cf9d0167cd646ae6893f82ee5b
A08,灭火器,forge-semantic-v1.2.1-candidate,none/medium/body_grip/rigid/balanced/whole_body+none/no-shape-flag,spin=3.650; sweep=3.100; slam=2.550,sweep -> spin -> slam,073eb47f63d718ef784b3a27579aaa878c47edbf7aad25f020d899657563b3b0,884e8d6a362944a8c32e5858cd155cd6ec5e0d0c2ba39a5908ef1b0f7df37de9
A09,圆盾,forge-semantic-v1.2.1-candidate,short/medium/clamp_grip/rigid/balanced/broad+edge/edge+broad_face,bash=5.600; slam=4.056; sweep=3.690,bash -> sweep -> slam,b7e587d6c5891a2aba20cd7141ed5df7c87cd30f6fcdb82736582fdb7e367004,8cb46f009b063aceb76e7f030f57ab88a8218b752b1317fe5faf0fb1fc4fa7b5
A10,巨大鸡腿,forge-semantic-v1.2-candidate,short/medium/one_hand_handle/semi_rigid/front/broad+none/broad_face,bash=5.000; slam=4.150; sweep=1.900,bash -> slam -> bash,56777e49da4ee8737bba15e8bacf513cceaeb3c571f1871a40fa8199e1357e7b,fe8f62b58c9cf76cedafb7cbfa735f68ced7113cf0f1e295c916dec62e64d88b
A11,折叠凳,forge-semantic-v1.2-candidate,none/short/clamp_grip/rigid/front/broad+none/broad_face,bash=6.100; slam=4.850; sweep=1.100,bash -> slam -> bash,44a87662db848a65af1ea73be087eb307b5cb739bf203cf37ad7a024c2d276b5,3f91fdacfef6287ceaae4c13dc0c843ce5a279dfa2f3528144d30bf0a38a5688
A12,钓鱼竿,forge-semantic-v1.2-candidate,medium/long/two_hand_handle/flexible/rear/whole_body+point/point,sweep=4.600; spin=4.050; thrust=3.138,sweep -> spin -> slam,6ded1b398e592d4471690bcf09250ab0e01d6bc386e002a5a591cc0b77958a0f,72a112d161e0e9e9fbd279b24cf9fabd9e98ab8a5ce1cd7e6d9eda2d75d51c63
